device_id,seq,timestamp,arrival_time,readings_count,readings
4017,0,1766598782,1766598782,10,26.329999923706055;28.360000610351562;24.100000381469727;24.799999237060547;23.3700008392334;28.969999313354492;28.709999084472656;20.059999465942383;20.899999618530273;29.25
4017,1,1766598783,1766598783,10,27.40999984741211;25.270000457763672;23.959999084472656;28.56999969482422;22.399999618530273;29.399999618530273;20.93000030517578;20.219999313354492;29.690000534057617;22.299999237060547
4017,2,1766598784,1766598784,10,27.31999969482422;26.469999313354492;28.5;26.260000228881836;27.899999618530273;20.049999237060547;24.799999237060547;29.520000457763672;29.469999313354492;24.219999313354492
4017,3,1766598785,1766598785,10,20.770000457763672;27.239999771118164;27.75;28.15999984741211;21.559999465942383;21.799999237060547;23.3700008392334;21.399999618530273;28.350000381469727;25.719999313354492
4017,4,1766598786,1766598786,10,23.450000762939453;23.90999984741211;29.530000686645508;25.479999542236328;25.889999389648438;20.260000228881836;22.940000534057617;29.969999313354492;29.489999771118164;29.18000030517578
4017,5,1766598787,1766598787,10,26.760000228881836;22.8700008392334;24.100000381469727;24.75;23.639999389648438;20.15999984741211;21.360000610351562;21.34000015258789;20.110000610351562;27.59000015258789
4017,6,1766598788,1766598788,10,22.600000381469727;26.43000030517578;21.229999542236328;24.559999465942383;25.610000610351562;24.860000610351562;20.139999389648438;21.790000915527344;27.850000381469727;20.040000915527344
4017,7,1766598789,1766598789,10,23.059999465942383;29.459999084472656;23.25;26.549999237060547;25.15999984741211;21.889999389648438;23.25;22.610000610351562;20.770000457763672;25.350000381469727
4017,8,1766598790,1766598790,10,23.549999237060547;24.860000610351562;27.8700008392334;24.940000534057617;28.549999237060547;22.809999465942383;28.56999969482422;24.81999969482422;24.510000228881836;24.59000015258789
4017,9,1766598791,1766598791,10,27.690000534057617;25.18000030517578;28.940000534057617;23.65999984741211;25.93000030517578;26.270000457763672;28.6200008392334;21.989999771118164;21.950000762939453;29.100000381469727
4017,10,1766598792,1766598792,10,24.600000381469727;22.459999084472656;27.329999923706055;25.1200008392334;22.700000762939453;25.06999969482422;25.420000076293945;21.1200008392334;25.309999465942383;26.020000457763672
4017,11,1766598793,1766598793,10,25.290000915527344;27.139999389648438;23.65999984741211;24.760000228881836;29.149999618530273;22.729999542236328;24.290000915527344;25.450000762939453;28.68000030517578;21.469999313354492
4017,12,1766598794,1766598794,10,23.049999237060547;23.540000915527344;28.6299991607666;25.690000534057617;27.56999969482422;23.350000381469727;27.959999084472656;29.309999465942383;20.59000015258789;23.440000534057617
4017,13,1766598795,1766598795,10,20.559999465942383;23.479999542236328;26.1200008392334;20.469999313354492;25.860000610351562;26.020000457763672;25.440000534057617;22.299999237060547;26.979999542236328;28.3700008392334
4017,14,1766598796,1766598796,10,23.81999969482422;20.75;22.06999969482422;24.719999313354492;26.81999969482422;28.09000015258789;27.65999984741211;23.959999084472656;28.780000686645508;27.239999771118164
4017,15,1766598797,1766598797,10,24.520000457763672;27.219999313354492;23.309999465942383;29.459999084472656;25.190000534057617;29.920000076293945;26.799999237060547;21.260000228881836;21.399999618530273;21.90999984741211
