device_id,seq,timestamp,arrival_time,readings_count,readings
5503,0,1766601602,1766601602,10,25.719999313354492;26.079999923706055;23.790000915527344;20.809999465942383;21.040000915527344;25.799999237060547;25.649999618530273;27.219999313354492;26.399999618530273;26.010000228881836
5503,1,1766601603,1766601603,10,22.739999771118164;20.790000915527344;29.579999923706055;23.40999984741211;23.40999984741211;23.31999969482422;27.0;26.190000534057617;28.649999618530273;22.90999984741211
5503,2,1766601604,1766601604,10,25.700000762939453;25.469999313354492;23.600000381469727;29.229999542236328;25.700000762939453;21.5;29.850000381469727;25.299999237060547;26.479999542236328;24.040000915527344
5503,3,1766601605,1766601605,10,24.579999923706055;20.799999237060547;20.219999313354492;22.739999771118164;22.8799991607666;25.780000686645508;29.260000228881836;22.219999313354492;26.860000610351562;28.469999313354492
5503,4,1766601606,1766601606,10,20.170000076293945;23.850000381469727;20.020000457763672;27.100000381469727;21.190000534057617;28.920000076293945;29.770000457763672;20.030000686645508;20.25;22.15999984741211
5503,5,1766601607,1766601607,10,23.8799991607666;25.229999542236328;23.920000076293945;21.549999237060547;20.399999618530273;27.350000381469727;26.079999923706055;23.809999465942383;26.3700008392334;24.239999771118164
5503,6,1766601608,1766601608,10,25.399999618530273;23.639999389648438;23.639999389648438;29.059999465942383;25.09000015258789;29.510000228881836;29.920000076293945;22.59000015258789;23.75;20.799999237060547
5503,7,1766601609,1766601609,10,21.09000015258789;26.93000030517578;21.280000686645508;23.75;25.020000457763672;28.489999771118164;24.290000915527344;20.600000381469727;23.56999969482422;28.219999313354492
5503,8,1766601610,1766601610,10,22.209999084472656;29.440000534057617;26.540000915527344;21.579999923706055;22.3799991607666;20.850000381469727;28.459999084472656;20.09000015258789;24.479999542236328;27.459999084472656
5503,9,1766601611,1766601611,10,25.1299991607666;27.68000030517578;21.049999237060547;23.139999389648438;29.530000686645508;23.65999984741211;29.079999923706055;23.579999923706055;27.360000610351562;26.670000076293945
5503,10,1766601612,1766601612,10,24.90999984741211;22.209999084472656;29.149999618530273;21.34000015258789;25.65999984741211;25.600000381469727;28.959999084472656;26.68000030517578;26.780000686645508;29.1299991607666
5503,11,1766601613,1766601613,10,22.540000915527344;21.760000228881836;24.239999771118164;26.81999969482422;21.850000381469727;20.6200008392334;28.6200008392334;25.510000228881836;20.899999618530273;23.389999389648438
5503,12,1766601614,1766601614,10,20.09000015258789;24.790000915527344;26.280000686645508;28.329999923706055;27.670000076293945;24.889999389648438;23.010000228881836;27.68000030517578;21.770000457763672;25.979999542236328
5503,13,1766601615,1766601615,10,24.709999084472656;22.760000228881836;25.739999771118164;25.100000381469727;20.18000030517578;21.450000762939453;22.219999313354492;23.670000076293945;26.190000534057617;20.139999389648438
5503,14,1766601616,1766601616,10,22.31999969482422;20.81999969482422;23.860000610351562;26.219999313354492;21.469999313354492;24.729999542236328;29.100000381469727;20.670000076293945;25.860000610351562;29.8700008392334
5503,15,1766601617,1766601617,10,21.059999465942383;26.239999771118164;22.959999084472656;25.889999389648438;28.280000686645508;29.09000015258789;29.93000030517578;25.670000076293945;25.020000457763672;20.809999465942383
5503,16,1766601618,1766601618,10,26.149999618530273;22.450000762939453;28.0;22.299999237060547;26.81999969482422;26.299999237060547;23.65999984741211;24.920000076293945;21.440000534057617;22.540000915527344
5503,17,1766601619,1766601619,10,29.399999618530273;29.239999771118164;27.729999542236328;24.030000686645508;29.809999465942383;25.850000381469727;27.1299991607666;26.049999237060547;24.350000381469727;24.950000762939453
5503,18,1766601620,1766601620,10,21.010000228881836;29.34000015258789;26.729999542236328;25.270000457763672;23.270000457763672;22.139999389648438;27.079999923706055;20.06999969482422;25.719999313354492;29.799999237060547
5503,19,1766601621,1766601621,10,21.75;21.860000610351562;29.690000534057617;26.389999389648438;28.84000015258789;27.75;25.459999084472656;26.969999313354492;29.170000076293945;26.559999465942383
5503,20,1766601622,1766601622,10,24.760000228881836;25.469999313354492;26.639999389648438;27.40999984741211;21.229999542236328;26.729999542236328;21.6299991607666;21.93000030517578;24.389999389648438;22.8700008392334
5503,21,1766601623,1766601623,10,20.950000762939453;24.25;25.639999389648438;29.229999542236328;28.950000762939453;27.040000915527344;26.770000457763672;24.280000686645508;24.059999465942383;26.770000457763672
5503,22,1766601624,1766601624,10,29.200000762939453;23.450000762939453;28.049999237060547;26.3799991607666;25.920000076293945;20.59000015258789;27.40999984741211;22.479999542236328;21.190000534057617;26.469999313354492
5503,23,1766601625,1766601625,10,22.31999969482422;23.8700008392334;28.190000534057617;23.530000686645508;24.56999969482422;25.399999618530273;24.8700008392334;20.229999542236328;23.34000015258789;26.989999771118164
5503,24,1766601626,1766601626,10,20.950000762939453;21.889999389648438;21.15999984741211;21.579999923706055;28.280000686645508;28.270000457763672;21.959999084472656;27.059999465942383;20.860000610351562;25.049999237060547
5503,25,1766601627,1766601627,10,21.229999542236328;21.270000457763672;26.459999084472656;22.540000915527344;25.440000534057617;26.600000381469727;21.979999542236328;23.280000686645508;29.170000076293945;20.799999237060547
5503,26,1766601628,1766601628,10,29.5;20.940000534057617;25.360000610351562;25.510000228881836;21.440000534057617;22.940000534057617;21.559999465942383;24.6299991607666;27.100000381469727;23.68000030517578
5503,27,1766601629,1766601629,10,27.290000915527344;25.790000915527344;23.950000762939453;22.389999389648438;28.510000228881836;29.6299991607666;21.3799991607666;27.329999923706055;20.760000228881836;24.1299991607666
5503,28,1766601630,1766601630,10,27.40999984741211;23.030000686645508;25.43000030517578;21.59000015258789;21.299999237060547;28.450000762939453;20.3700008392334;24.81999969482422;27.8799991607666;28.56999969482422
